日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-09-19,09/19,00:48,女孩,韋禮安,,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,00:53,一想到你呀,張惠妹,BAD BOY,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,00:57,LOL,演奏曲,你也是人類嗎? 韓劇原聲帶,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:00,認錯,優客李林,認錯,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:05,對不起我愛你,陳冠宇(鋼琴) / 蔡淳佳,對不起我愛你,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:10,你是唯一,黃韻玲 / 阿達,在我們之間的事 EP,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:17,SUGAR HIGH,王心凌,BITE BACK,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:20,TULIPS,CHRISTOPHER,CLOSER...AND MORE HITS,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:23,海裡來的沙,殷正洋,民歌語錄,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:27,SURFIN' BOY,RED VELVET,VELVET SUMMER,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:30,海洋,MC HOTDOG,差不多先生,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:34,LEMON TREE,蘇慧倫,LEMON TREE,,,1,2,2026-09-20T02:28:29
2026-09-19,09/19,01:37,HUMAN NATURE,MICHAEL JACKSON,THRILLER(顫慄),,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,01:41,SPRING DAY,BTS防彈少年團,YOU NEVER WALK ALONE,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,01:46,一個人想著一個人,曾沛慈,終極一班2電視原聲帶,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,01:50,UNCHAINED MELODY,JOSH GROBAN / JENNIFER HUDSON,CINEMATIC,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,01:54,用情,張信哲,摯愛,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,02:00,錯的人,蕭亞軒,蕭灑小姐,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,02:05,空中飛人,竇靖童(LEAH DOU),空中飛人,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,02:10,他不愛我,莫文蔚,做自己(TO BE),,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,02:14,一樣的是,李佳薇,相反的是,,,1,3,2026-09-20T02:28:32
2026-09-19,09/19,02:18,非你莫屬,晨悠CHENYO,,,,1,3,2026-09-20T02:28:32
