日期,日期_mmdd,播出時間,歌曲名稱,演唱(奏)者,專輯,出版者,CD編號,dt_days_ago,page,scraped_at
2026-01-05,01/05,16:54,星星堆滿天,楊乃文,ONE,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:49,QUEEN OF MY HEART,WESTLIFE,WORLD OF OUR OWN(我們的世界),,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:44,阿峰今天沒有來,萬芳,,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:40,我會很愛你,言承旭,多出來的自由,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:36,ANGELS,ROBBIE WILLIAMS,THE EGO HAS LANDED(大駕光臨),,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:32,一直在找一個人,馮瑋君,馮瑋君,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:27,氣溫37度的遐想,蘇慧倫 / 魏如萱(娃娃),面面,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:22,CHOO CHOO TRAIN(日),放浪兄弟(EXILE),放浪樂園(ENTERTAINMENT),,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:18,你終結了我的流浪,曹楊,你終結了我的流浪,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:14,命運,家家,蘭陵王 戲劇原聲帶,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:10,FIREWORK,KATY PERRY(凱蒂佩芮),TEENAGE DREAM(花漾年華),,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,16:05,時機,黑色餅乾,LIFE,,,0,1,2026-01-05T16:58:16
2026-01-05,01/05,15:54,默默無語(鋼琴演奏版),演奏曲,韓劇 原來是美男 電視原聲帶1,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:49,NEW YORK STATE OF MIND,BARBRA STREISAND / BILLY JOEL,世紀傳情PARTNERS豪華典藏版2CD,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:45,I NEED YOU(國),艾怡良,超級偶像 SUPER I DO,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:41,日安我的愛,黃鶯鶯 / 鍾鎮濤,日安我的愛,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:36,MEN'S TALK(國),張清芳,MEN'S TALK,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:32,你沒等我去的舊金山,派偉俊 / 陳華,,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:28,來自天堂的魔鬼,G.E.M.鄧紫棋,新的心跳,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:23,TOM'S DINER,SUZANNE VEGA,SOLITUDE STANDING,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:18,YAH YAH YAH(日),恰克與飛鳥(CHAGE AND ASKA),STAMP(超越自我精選輯),,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:13,猴籠,蕭敬騰,,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:09,I LOVE YOU ALWAYS FOREVER,DONNA LEWIS,NOW IN A MINUTE,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,15:05,美妙生活,林宥嘉,美妙生活,,,0,2,2026-01-05T16:58:18
2026-01-05,01/05,14:53,你的眼睛,持修,受,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:49,想你想的好孤寂,邰正宵,千紙鶴,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:45,FALL ON ME(LIVE),ANDREA BOCELLI / MATTEO BOCELLI,出道30週年美聲慶典(藍光2BD)(THE CELEBRATION 30TH ANNIVERSARY),,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:41,LONGER,DAN FOGELBERG,HEARTBREAKERS,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:37,天使,五月天,為愛而生,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:33,別再留下,ELLA陳嘉樺,BAD HABITS,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:28,ALL ABOUT THAT BASS 棉花糖女孩,MEGHAN TRAINOR(梅根崔娜),TITLE(招牌金曲) CD+DVD重量進化版,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:24,FLY OUT(國),兄弟本色,FLY OUT,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:19,這些那些,林憶蓮,"LOVE,SANDY",,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:14,你聽聽就好,李芷婷,美麗舊世界,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:10,幻化成風(日),過亞彌乃(TSUJI AYANO),貓的報恩 動畫電影原聲帶,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,14:05,幸福的時光,潘裕文 / 徐宛鈴,夢.想.家,,,0,3,2026-01-05T16:58:20
2026-01-05,01/05,13:55,繁花依耶樣,BRANDY(阿爆 & BRANDY),美好的日子 阿美族與新世紀音樂,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:51,離開你走近你,王夢麟,,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:47,失戀無罪,A-LIN,失戀無罪,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:42,第一次,光良,光良第一次個人創作專輯,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:37,那些花兒,范瑋琪,真善美,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:33,FOR GOOD,CYNTHIA ERIVO(辛西婭艾利沃) / ARIANA GRANDE(亞莉安娜.格蘭德),WICKED: FOR GOOD(魔法壞女巫：第二部) 電影原聲帶,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:30,THE REASON(韓),YIM SIWAN(任時完),THE REASON,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:26,風吹草動,林慧萍,精選林慧萍,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:22,TRY,COLBIE CAILLAT(蔻比凱蕾),,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:18,出界,鄭秀文,我應該得到,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:13,黑暗騎士,VOX玩聲樂團,VOX 2,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:09,SAILING,CHRISTOPHER CROSS,CHRISTOPHER CROSS,,,0,4,2026-01-05T16:58:23
2026-01-05,01/05,13:05,快遞甜心,關詩敏,關在家,,,0,5,2026-01-05T16:58:26
